booking_id,passenger_id,flight_id,booking_date,status,seat_number,emergency_contact_name,passport_hash,emergency_contact_phone_masked
B1072,P1203,UK089,2025-08-10 11:37:36.951,CANCELLED,18F,Vaishnavi Gandhi,829a5131166353ef,+91-******2708
B1073,P1661,6F180,2025-12-04 11:37:36.951,CONFIRMED,16A,Alka Wable,2f3fda6f401627a4,+91-******4571
B1074,P1804,6F188,2025-09-25 11:37:36.951,CONFIRMED,7A,Pallavi Kakar,2b7e5c29878ccee9,+91-******6104
B1075,P1403,UK131,2026-01-03 11:37:36.951,CONFIRMED,2F,Sai Muni,5a8625975fd85a29,+91-******7796
B1076,P1102,UK055,2025-05-04 11:37:36.951,CONFIRMED,12B,Mohini Prakash,dab6677257e0df4d,+91-******9350
B1077,P1535,UK181,2025-05-03 11:37:36.951,PENDING,3A,Raksha Varughese,d6789f8b10569f0b,+91-******9292
B1078,P1367,6F077,2025-09-21 11:37:36.951,CONFIRMED,1B,Siya Dara,daeb52205df087fe,+91-******0016
B1079,P1211,SJ085,2025-06-03 11:37:36.951,CONFIRMED,10D,Yug Kar,04dd042c1e1ab3ff,+91-******8019
B1080,P1576,SJ023,2025-06-05 11:37:36.951,CONFIRMED,22D,Devansh Nigam,ed6b7590cce5d1cf,+91-******0958
B1081,P1960,SJ202,2025-11-13 11:37:36.951,CANCELLED,29C,Ansh Karpe,fc5693cfa4ecd4c4,+91-******8400
B1082,P1208,SJ150,2025-09-09 11:37:36.951,CANCELLED,30A,Thomas Amble,8d8e07d18c560ccc,+91-******4669
B1083,P1762,SJ116,2025-05-12 11:37:36.951,CANCELLED,9A,Ekavir Bhargava,7692ebdaa67d0145,+91-******4087
B1084,P1896,6F270,2025-06-14 11:37:36.951,PENDING,16E,Veer Bir,a73f4fb59b6adb79,+91-******8688
B1085,P1116,UK150,2026-03-24 11:37:36.951,PENDING,12A,Azad Narayanan,b5445c25a22ff182,+91-******9329
B1086,P1627,SJ237,2026-02-16 11:37:36.951,CONFIRMED,5D,Ekavir Varkey,353ce93dac98d0e1,+91-******3483
B1087,P1748,AI221,2025-05-08 11:37:36.951,CANCELLED,2F,Wazir Mallick,b5b24442fce4fc3e,+91-******8674
B1088,P1477,SJ081,2026-03-25 11:37:36.951,PENDING,31A,Vedika Kala,787ca2cc91810d7a,+91-******7433
B1089,P1104,UK189,2025-09-03 11:37:36.951,CANCELLED,25F,Kevin Solanki,9fe4832e46605171,+91-******1422
B1090,P1494,SJ068,2025-05-16 11:37:36.951,PENDING,31C,Xavier Solanki,7839eaee1278bad2,+91-******1775
B1091,P1770,6F043,2025-08-18 11:37:36.951,PENDING,25D,Niharika Gupta,dc742f97ecc693fb,+91-******1387
B1092,P1045,UK187,2026-03-18 11:37:36.951,CONFIRMED,16D,Girindra Chatterjee,eeefb195c4346565,+91-******6973
B1093,P1822,UK074,2025-05-11 11:37:36.951,CONFIRMED,25E,Raagini Pandya,c6dfeae13ecd8e69,+91-******0231
B1094,P1330,UK004,2026-01-07 11:37:36.951,PENDING,24C,Pallavi Roy,95c4cf1c17f97b6f,+91-******7557
B1095,P1215,6F194,2025-07-30 11:37:36.951,CONFIRMED,14B,Unni Bhagat,3780979a5959ac4f,+91-******2655
B1096,P1981,UK068,2026-01-03 11:37:36.951,PENDING,12B,Guneet Bhat,b80bb2ec148699cb,+91-******8767
B1097,P1959,6F017,2025-08-26 11:37:36.951,UNKNOWN,34F,Neha Nori,f7e02a56d9f1abe8,+91-******9257
B1098,P1491,6F245,2025-10-15 11:37:36.951,UNKNOWN,13D,Ikbal Kothari,fb89aebe8aba1170,+91-******0675
B1099,P1812,6F254,2025-12-07 11:37:36.951,CONFIRMED,26E,Rehaan Gupta,693da76722da27ae,+91-******5408
B1100,P1921,UK077,2026-03-05 11:37:36.951,CONFIRMED,16D,Saumya Dey,eb419af2876a17e8,+91-******2423
B1101,P1844,AI029,2025-07-19 11:37:36.951,CONFIRMED,3D,Pahal Goswami,2b318a4903e34f1d,+91-******0041
B1102,P1448,SJ196,2025-10-06 11:37:36.951,UNKNOWN,15F,Arya Shere,3af30f986bc10fdf,+91-******7824
B1103,P1535,AI242,2025-08-08 11:37:36.951,CANCELLED,20D,Zaid Borra,da51ed01fc777418,+91-******0195
B1104,P1510,AI242,2025-09-12 11:37:36.951,CANCELLED,16E,Saanvi Chaudhari,c2b4835877d40b7a,+91-******1992
B1105,P1457,SJ044,2025-09-11 11:37:36.951,CONFIRMED,19F,Chandresh Zachariah,1d3dac43b1594a12,+91-******2865
B1106,P1546,UK063,2025-09-01 11:37:36.951,CONFIRMED,21F,Alexander Chander,60b7af71e1bbb27b,+91-******7368
B1107,P1535,AI056,2025-05-19 11:37:36.951,CONFIRMED,30F,Warjas Ganesan,6a1fb7f1be0bccc7,+91-******1339
B1108,P1539,UK207,2025-10-11 11:37:36.951,CANCELLED,14B,Niharika Sunder,324fbc9c9b6f4a77,+91-******0049
B1109,P1483,UK166,2025-12-03 11:37:36.951,CANCELLED,33D,Vasana Kala,320a00e4dcb15636,+91-******1363
B1110,P1975,6F261,2025-12-17 11:37:36.951,PENDING,12B,Nandini Bhargava,3f1988a5001b2e1b,+91-******8743
B1111,P1999,UK134,2025-12-25 11:37:36.951,CANCELLED,34A,Nitesh Raghavan,931436b7fc1d5cff,+91-******0327
B1112,P1015,6F152,2025-10-02 11:37:36.951,PENDING,27A,Aarnav Ramakrishnan,549b6d9a573b2201,+91-******0611
B1113,P1570,SJ089,2025-11-23 11:37:36.951,CONFIRMED,5A,Alka Sha,789f60f260936222,+91-******3389
B1114,P1976,6F123,2025-09-26 11:37:36.951,CANCELLED,2E,Bhavika Sampath,8dfedddcce752555,+91-******8435
B1115,P1242,AI025,2025-08-23 11:37:36.951,CONFIRMED,10A,Vidhi Dubey,26050249f05f3f74,+91-******1024
B1116,P1949,6F030,2025-12-05 11:37:36.951,CONFIRMED,19B,Ranveer Minhas,89c9ea9c8f3c9e81,+91-******1177
B1117,P1206,SJ222,2025-09-02 11:37:36.951,CONFIRMED,28F,Teerth Bhardwaj,872278f4b558af07,+91-******6273
B1118,P1911,UK109,2026-04-03 11:37:36.951,CONFIRMED,34B,Darsh Murthy,fc3df106b0b21179,+91-******2542
B1119,P1270,SJ117,2025-11-25 11:37:36.951,CANCELLED,21F,Dakshesh Bedi,11657afab1fb6dc9,+91-******5920
B1120,P1760,SJ142,2025-08-12 11:37:36.951,CONFIRMED,12D,Vansha Thakkar,b84615456a996ebe,+91-******9377
B1121,P1993,SJ142,2025-06-01 11:37:36.951,PENDING,17C,Nakul Bhandari,d6c9529c06c807cb,+91-******9980
B1122,P1778,AI030,2025-05-02 11:37:36.951,CANCELLED,20B,Yashoda Buch,14b099409634db76,+91-******0459
B1123,P1704,6F097,2025-09-23 11:37:36.951,CONFIRMED,8A,Quincy Biswas,84b99269d7259fde,+91-******3440
B1124,P1846,6F129,2025-05-23 11:37:36.951,CANCELLED,5C,Ekansh Keer,789b2151d973ab83,+91-******1753
B1125,P1729,6F181,2026-01-15 11:37:36.951,PENDING,27E,Netra Dar,a0cab12df09a4074,+91-******5564
B1126,P1114,AI072,2025-10-20 11:37:36.951,CONFIRMED,10E,Yatin Baral,1662c7047ff4c2ab,+91-******6718
B1127,P1579,SJ154,2025-06-29 11:37:36.951,PENDING,2E,Finn Saini,e8cfa1e951a82671,+91-******6141
B1128,P1298,AI031,2026-04-08 11:37:36.951,CONFIRMED,10D,Diya Lal,742f734c27679954,+91-******9264
B1129,P1836,AI031,2025-09-18 11:37:36.951,PENDING,26F,Samarth Murthy,c410880c10b4e3fc,+91-******4894
B1130,P1482,6F158,2025-12-26 11:37:36.951,CONFIRMED,34E,William Lanka,f09c0a93b6e2e17f,+91-******1553
B1131,P1396,6F184,2025-06-16 11:37:36.951,CANCELLED,1C,Meghana Deep,2b93216a02a743ce,+91-******6703
B1132,P1393,UK141,2025-06-20 11:37:36.951,CONFIRMED,10D,Charita Shankar,706954c03a671001,+91-******2875
B1133,P1074,6F168,2025-12-29 11:37:36.951,CANCELLED,23D,Diya Bora,d378f468ed045771,+91-******2496
B1134,P1977,6F051,2025-07-28 11:37:36.951,CONFIRMED,34C,Aditya Shanker,0a9256c654868404,+91-******9254
B1135,P1481,6F047,2025-12-02 11:37:36.951,CONFIRMED,20E,Harish Borah,19675c77c0ce2ef1,+91-******6706
B1136,P1102,UK156,2025-10-26 11:37:36.951,PENDING,28E,Tanay Toor,1a8e2ee9604dd7ba,+91-******2968
B1137,P1296,AI094,2025-09-01 11:37:36.951,PENDING,13E,Alka Deo,3ffce22827c5a12c,+91-******1393
B1138,P1177,AI038,2025-07-14 11:37:36.951,PENDING,6C,Ikshita Biswas,d55b6e72cb263db9,+91-******1934
B1139,P1214,6F255,2026-01-19 11:37:36.951,CONFIRMED,29F,Yash Pingle,bbae7556e98aab26,+91-******2157
B1140,P1966,SJ025,2026-01-23 11:37:36.951,CONFIRMED,29D,Bhavani Dugar,f8f7cdc9ecb48ca5,+91-******1700
B1141,P1314,SJ185,2025-10-28 11:37:36.951,CONFIRMED,9C,Raksha Mittal,49d97b1c4c7dc5b6,+91-******5455
B1142,P1038,6F259,2026-01-21 11:37:36.951,CANCELLED,5C,Abhiram Mistry,fcde0e2b5da25ae6,+91-******4971
B1143,P1258,6F073,2026-04-07 11:37:36.951,CANCELLED,15A,Hemang Desai,afdc34ca2d557c15,+91-******9840
B1144,P1715,AI091,2025-09-26 11:37:36.951,CONFIRMED,6D,Aishani D’Alia,7d87c96db5c0306d,+91-******7996
B1145,P1006,6F191,2025-08-23 11:37:36.951,PENDING,15D,Hredhaan Dugal,c42e261739311d31,+91-******6715
B1146,P1048,UK228,2025-08-30 11:37:36.951,PENDING,25A,Anita Manda,b7639e905434a697,+91-******8150
B1147,P1537,6F146,2026-03-25 11:37:36.951,PENDING,11E,Shivansh Oza,50a1a04ea43fe448,+91-******9430
B1148,P1160,6F068,2025-10-13 11:37:36.951,CONFIRMED,19A,Samar Lalla,1824f7428d639b28,+91-******0672
B1149,P1868,SJ218,2026-01-08 11:37:36.951,PENDING,30F,Yashasvi Suresh,1070d881d49cf2af,+91-******2528
B1150,P1175,UK083,2025-09-25 11:37:36.951,CONFIRMED,12A,Zayan Behl,3b18d93f584be98b,+91-******2234
B1151,P1590,SJ007,2026-01-18 11:37:36.951,CANCELLED,29B,George Sampath,14689b785bc985f0,+91-******9085
B1152,P1001,AI077,2025-08-14 11:37:36.951,PENDING,27A,Aradhana Basu,9fbb2208f9766832,+91-******8402
B1153,P1894,UK017,2025-12-20 11:37:36.951,CANCELLED,8D,Aarush Nath,27fa8ad298e54db4,+91-******9050
B1154,P1454,6F229,2026-02-17 11:37:36.951,PENDING,24A,Kalpit Lala,3c315599a219a423,+91-******7005
B1155,P1927,6F074,2025-10-08 11:37:36.951,CONFIRMED,6D,Neel Sathe,ab2ce452d61eed45,+91-******5900
B1156,P1643,SJ088,2026-03-25 11:37:36.951,CONFIRMED,5E,Prisha Andra,18105491da73b71e,+91-******8235
B1157,P1275,SJ167,2025-06-28 11:37:36.951,CONFIRMED,18B,Isaac Borra,d05f1dac37acdbb5,+91-******0380
B1158,P1497,6F234,2025-07-20 11:37:36.951,CONFIRMED,22A,Manthan Banik,02e620d5c290a397,+91-******3787
B1159,P1628,UK071,2025-12-10 11:37:36.951,PENDING,22F,Kala Divan,37f83968179dbd01,+91-******1686
B1160,P1675,AI178,2025-11-21 11:37:36.951,CANCELLED,29A,Qushi Datta,f60d6ae35bcbee28,+91-******5204
B1161,P1799,UK104,2025-11-14 11:37:36.951,CONFIRMED,12A,Benjamin Morar,704cb66091633178,+91-******1674
B1162,P1027,AI146,2025-04-22 11:37:36.951,UNKNOWN,32D,Janya Baral,7614e3e997090be5,+91-******9690
B1163,P1332,SJ235,2025-11-10 11:37:36.951,CANCELLED,13D,Ishita Kade,c4d3ee9b910c5e48,+91-******2987
B1164,P1000,6F209,2025-04-24 11:37:36.951,CONFIRMED,24A,Zaid Chauhan,fbd36eb2eaea50ed,+91-******2471
B1165,P1187,AI129,2025-08-20 11:37:36.951,CANCELLED,2F,Irya Ray,7e1e2b1f17b8b4b5,+91-******2367
B1166,P1055,SJ141,2026-01-23 11:37:36.951,CONFIRMED,34D,Mohammed Khalsa,afd59be446e44c9a,+91-******7690
B1167,P1546,SJ018,2026-02-02 11:37:36.951,CANCELLED,9F,Nicholas Goel,25c9918012ccad8a,+91-******6854
B1168,P1111,UK120,2025-10-14 11:37:36.951,CANCELLED,11C,Nitara Bakshi,b2a4552d3e133305,+91-******3269
B1169,P1797,AI078,2025-11-15 11:37:36.951,CONFIRMED,11E,Praneel Natarajan,ed1edafa73bc76f8,+91-******7397
B1170,P1309,AI079,2025-09-14 11:37:36.951,PENDING,15E,Nisha Kothari,b89fef1bedb516d1,+91-******4039
B1171,P1035,UK087,2025-09-19 11:37:36.951,CANCELLED,21A,Amara Dutta,5587d350cca62364,+91-******5830
B1172,P1438,UK133,2026-01-17 11:37:36.951,CONFIRMED,8F,Hritik Raja,c4cd72969b5315c5,+91-******9600
B1173,P1728,AI222,2025-06-01 11:37:36.951,CANCELLED,22E,Balvan Singhal,2826a2e130e92ede,+91-******0197
B1174,P1591,6F049,2026-04-12 11:37:36.951,CANCELLED,19D,Tristan Iyengar,29e92ad39b5d6a5c,+91-******4287
B1175,P1825,6F105,2026-01-29 11:37:36.951,PENDING,27D,Triveni Palla,466c0cb9c6566748,+91-******0363
B1176,P1594,SJ226,2025-04-17 11:37:36.951,CANCELLED,7C,Dalaja Kari,25b0176f8e2de949,+91-******7327
B1177,P1576,SJ227,2025-07-29 11:37:36.951,CANCELLED,34D,Udant Bajwa,1faa946c34da555b,+91-******0863
B1178,P1324,6F034,2026-02-05 11:37:36.951,CONFIRMED,34E,Reyansh Rastogi,0e2f11d40ecb3e76,+91-******2098
B1179,P1639,SJ078,2025-10-03 11:37:36.951,CONFIRMED,33D,Falguni Mallick,70e7a5fb17d65d4f,+91-******5466
B1180,P1306,AI240,2026-04-10 11:37:36.951,PENDING,22F,Ekaraj Mallick,a64c6645c82fe4ff,+91-******9558
B1181,P1533,SJ002,2026-03-29 11:37:36.951,CANCELLED,12E,Indali Upadhyay,77e39000ffec8425,+91-******9169
B1182,P1727,AI044,2025-08-11 11:37:36.951,CANCELLED,3A,Mugdha Yadav,4b02215cb1568771,+91-******4521
B1183,P1618,UK076,2025-06-22 11:37:36.951,CANCELLED,8C,Garima Bala,86829e1ac6a1acf3,+91-******8652
B1184,P1108,6F232,2025-08-01 11:37:36.951,PENDING,28E,Jack Lal,62190f4d1de67f08,+91-******6490
B1185,P1371,SJ228,2025-08-16 11:37:36.951,CANCELLED,25E,Pranav Lanka,287a4af8dd539be3,+91-******6542
B1186,P1356,SJ074,2026-04-04 11:37:36.951,CONFIRMED,1B,Balvan Chopra,d05484ef6ee594fd,+91-******4213
B1187,P1180,UK229,2025-08-04 11:37:36.951,PENDING,7F,Radha Pai,e41475699a6d3c20,+91-******5908
B1188,P1355,AI208,2026-04-04 11:37:36.951,CONFIRMED,6A,Dipta Sarin,7a099f39ae7927f3,+91-******9782
B1189,P1675,AI019,2025-11-23 11:37:36.951,CONFIRMED,14F,Yasti D’Alia,1e0b58e9054391e8,+91-******8556
B1190,P1067,6F029,2025-05-23 11:37:36.951,PENDING,12B,Lekha Gupta,fb4608a3ca51111d,+91-******1523
B1191,P1291,6F018,2025-04-27 11:37:36.951,CONFIRMED,25B,Aachal Basu,667823d76db39ff3,+91-******2358
B1192,P1691,AI059,2025-06-23 11:37:36.951,CANCELLED,7D,Rajata Agarwal,6fc5ff2593b645cd,+91-******5924
B1193,P1180,AI159,2025-05-22 11:37:36.951,PENDING,13D,Zinal Yohannan,afa5b00ae8c19c0b,+91-******0978
B1194,P1465,6F091,2025-07-11 11:37:36.951,CONFIRMED,14F,Ronith Patla,21772342d60b2d20,+91-******6626
B1195,P1433,6F084,2025-07-20 11:37:36.951,CANCELLED,10B,Raagini Boase,7a5de755198c824b,+91-******6166
B1196,P1463,UK170,2026-01-15 11:37:36.951,CANCELLED,20C,Ganga Murthy,410a1643c227b328,+91-******4596
B1197,P1680,UK212,2025-05-19 11:37:36.951,CONFIRMED,2E,Jeet Mital,b4308a23ef273621,+91-******7338
B1198,P1913,SJ022,2025-06-16 11:37:36.951,UNKNOWN,29A,Yashica More,e443111bff25ce9e,+91-******2983
B1199,P1533,SJ075,2025-12-13 11:37:36.951,PENDING,30E,Nilima Narain,e44d23e29f0e31c6,+91-******7632
B1200,P1065,UK177,2025-09-17 11:37:36.951,CONFIRMED,16B,Neha Merchant,d5b06c9879e93652,+91-******8921
B1201,P1020,UK206,2026-02-01 11:37:36.951,CANCELLED,3A,Joshua Handa,3e29f2cb2f8234e9,+91-******4055
B1202,P1611,UK079,2025-04-29 11:37:36.951,CANCELLED,29C,Osha Raghavan,69fda9e79160beb5,+91-******6263
B1203,P1383,UK040,2025-06-21 11:37:36.951,CONFIRMED,3B,Owen Mitra,0a16a9bbb8a5b9ee,+91-******0009
B1204,P1811,AI034,2025-07-25 11:37:36.951,CONFIRMED,30A,Nidra Acharya,814d6c12e4912cff,+91-******2075
B1205,P1614,UK034,2025-10-18 11:37:36.951,CONFIRMED,23F,Daksha Mangat,ee04af9da49bffa2,+91-******4339
B1206,P1558,AI088,2025-07-02 11:37:36.951,CONFIRMED,13A,Shivansh Sani,92b485c38fbce3d1,+91-******2395
B1207,P1038,AI128,2025-06-11 11:37:36.951,PENDING,26A,Ekanta Shroff,469b6ab25310994b,+91-******6415
B1208,P1284,SJ052,2025-07-22 11:37:36.951,UNKNOWN,9A,Riya Sathe,95582300eb4865ac,+91-******2858
B1209,P1821,AI233,2025-12-15 11:37:36.951,PENDING,3A,Tanay Vaidya,d4b8065ae6c579ac,+91-******6064
B1210,P1601,AI012,2026-01-20 11:37:36.951,PENDING,3C,Urvashi Gara,4c431f72d5d04d2f,+91-******4358
B1211,P1596,AI084,2025-07-07 11:37:36.951,CONFIRMED,34A,Frado Mander,023ae20162c2f317,+91-******5378
B1212,P1784,6F126,2025-07-08 11:37:36.951,PENDING,34B,Yutika Nayak,3af066e17c571ac5,+91-******6819
B1213,P1335,SJ061,2025-06-16 11:37:36.951,CONFIRMED,2E,Girik Keer,6de19bcd15edd069,+91-******1107
B1214,P1187,UK194,2025-08-14 11:37:36.951,UNKNOWN,23B,Dayita Kar,c88d65fea3680e5f,+91-******9571
